file;rule;profile_type;runtime;num_projects;num_projects_cat;num_voters;num_voters_cat;avg_vote_length;avg_vote_length_cat
poland_lodz_2020_andrzejow.pb;seqphragmen_res;ApprovalProfile;0.017999887466430664;9;10;1036;1000;2.5974903474903477;3
poland_lodz_2020_andrzejow.pb;seqphragmen_res;ApprovalMultiProfile;0.006999969482421875;9;10;160;0;3.46875;3
poland_lodz_2020_andrzejow.pb;greed_cost_res;ApprovalProfile;0.0220029354095459;9;10;1036;1000;2.5974903474903477;3
poland_lodz_2020_andrzejow.pb;greed_cost_res;ApprovalMultiProfile;0.004000186920166016;9;10;160;0;3.46875;3
poland_lodz_2020_andrzejow.pb;mes_cost_res;ApprovalProfile;0.03899979591369629;9;10;1036;1000;2.5974903474903477;3
poland_lodz_2020_andrzejow.pb;mes_cost_res;ApprovalMultiProfile;0.006999969482421875;9;10;160;0;3.46875;3
poland_lodz_2020_baluty-zachodnie.pb;greed_cost_res;ApprovalProfile;0.04200291633605957;9;10;2227;2000;2.0291872474180512;2
poland_lodz_2020_baluty-zachodnie.pb;greed_cost_res;ApprovalMultiProfile;0.0030019283294677734;9;10;165;0;3.466666666666667;3
poland_lodz_2020_baluty-zachodnie.pb;seqphragmen_res;ApprovalProfile;0.03300285339355469;9;10;2227;2000;2.0291872474180512;2
poland_lodz_2020_baluty-zachodnie.pb;seqphragmen_res;ApprovalMultiProfile;0.006509304046630859;9;10;165;0;3.466666666666667;3
poland_lodz_2020_andrzejow.pb;maxwelfare_cost_res;ApprovalProfile;0.10051345825195312;9;10;1036;1000;2.5974903474903477;3
poland_lodz_2020_andrzejow.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.013508796691894531;9;10;160;0;3.46875;3
poland_lodz_2020_baluty-zachodnie.pb;mes_cost_res;ApprovalProfile;0.07351231575012207;9;10;2227;2000;2.0291872474180512;2
poland_lodz_2020_baluty-zachodnie.pb;mes_cost_res;ApprovalMultiProfile;0.006999969482421875;9;10;165;0;3.466666666666667;3
poland_lodz_2020_baluty-zachodnie.pb;maxwelfare_cost_res;ApprovalProfile;0.13221120834350586;9;10;2227;2000;2.0291872474180512;2
poland_lodz_2020_baluty-zachodnie.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.009508848190307617;9;10;165;0;3.466666666666667;3
poland_lodz_2020_baluty-centrum.pb;greed_cost_res;ApprovalProfile;0.1332082748413086;20;20;2967;3000;2.5827435119649476;3
poland_lodz_2020_baluty-centrum.pb;greed_cost_res;ApprovalMultiProfile;0.050512075424194336;20;20;824;1000;3.7063106796116503;4
poland_lodz_2020_dolina-lodki.pb;greed_cost_res;ApprovalProfile;0.005000114440917969;4;0;651;1000;1.1643625192012288;1
poland_lodz_2020_dolina-lodki.pb;greed_cost_res;ApprovalMultiProfile;0.0;4;0;15;0;2.1333333333333333;2
poland_lodz_2020_baluty-doly.pb;greed_cost_res;ApprovalProfile;0.16372060775756836;25;20;3031;3000;2.9630484988452657;3
poland_lodz_2020_baluty-doly.pb;greed_cost_res;ApprovalMultiProfile;0.10151028633117676;25;20;1460;1000;3.8910958904109587;4
poland_lodz_2020_dolina-lodki.pb;maxwelfare_cost_res;ApprovalProfile;0.07451009750366211;4;0;651;1000;1.1643625192012288;1
poland_lodz_2020_dolina-lodki.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.0029997825622558594;4;0;15;0;2.1333333333333333;2
poland_lodz_2020_dolina-lodki.pb;seqphragmen_res;ApprovalProfile;0.004000186920166016;4;0;651;1000;1.1643625192012288;1
poland_lodz_2020_dolina-lodki.pb;seqphragmen_res;ApprovalMultiProfile;0.0;4;0;15;0;2.1333333333333333;2
poland_lodz_2020_baluty-centrum.pb;maxwelfare_cost_res;ApprovalProfile;0.2552309036254883;20;20;2967;3000;2.5827435119649476;3
poland_lodz_2020_baluty-centrum.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.055999755859375;20;20;824;1000;3.7063106796116503;4
poland_lodz_2020_baluty-centrum.pb;mes_cost_res;ApprovalProfile;0.23372340202331543;20;20;2967;3000;2.5827435119649476;3
poland_lodz_2020_baluty-centrum.pb;mes_cost_res;ApprovalMultiProfile;0.0745079517364502;20;20;824;1000;3.7063106796116503;4
poland_lodz_2020_gorniak.pb;greed_cost_res;ApprovalProfile;0.009000062942504883;5;0;759;1000;1.7246376811594204;2
poland_lodz_2020_gorniak.pb;greed_cost_res;ApprovalMultiProfile;0.0;5;0;28;0;2.5;2
poland_lodz_2020_gorniak.pb;seqphragmen_res;ApprovalProfile;0.0069997310638427734;5;0;759;1000;1.7246376811594204;2
poland_lodz_2020_gorniak.pb;seqphragmen_res;ApprovalMultiProfile;0.0009987354278564453;5;0;28;0;2.5;2
poland_lodz_2020_dolina-lodki.pb;mes_cost_res;ApprovalProfile;0.025003671646118164;4;0;651;1000;1.1643625192012288;1
poland_lodz_2020_dolina-lodki.pb;mes_cost_res;ApprovalMultiProfile;0.0009987354278564453;4;0;15;0;2.1333333333333333;2
poland_lodz_2020_gorniak.pb;maxwelfare_cost_res;ApprovalProfile;0.013003110885620117;5;0;759;1000;1.7246376811594204;2
poland_lodz_2020_gorniak.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.0035130977630615234;5;0;28;0;2.5;2
poland_lodz_2020_baluty-centrum.pb;seqphragmen_res;ApprovalProfile;0.20272064208984375;20;20;2967;3000;2.5827435119649476;3
poland_lodz_2020_baluty-centrum.pb;seqphragmen_res;ApprovalMultiProfile;0.14702653884887695;20;20;824;1000;3.7063106796116503;4
poland_lodz_2020_gorniak.pb;mes_cost_res;ApprovalProfile;0.01799941062927246;5;0;759;1000;1.7246376811594204;2
poland_lodz_2020_gorniak.pb;mes_cost_res;ApprovalMultiProfile;0.0010001659393310547;5;0;28;0;2.5;2
poland_lodz_2020_chojny.pb;greed_cost_res;ApprovalProfile;0.16451311111450195;14;10;5376;5000;2.7526041666666665;3
poland_lodz_2020_chojny.pb;greed_cost_res;ApprovalMultiProfile;0.02951216697692871;14;10;759;1000;3.997364953886693;4
poland_lodz_2020_baluty-doly.pb;maxwelfare_cost_res;ApprovalProfile;0.25623083114624023;25;20;3031;3000;2.9630484988452657;3
poland_lodz_2020_baluty-doly.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.11351585388183594;25;20;1460;1000;3.8910958904109587;4
poland_lodz_2020_im-montwilla-mireckiego.pb;greed_cost_res;ApprovalProfile;0.02299952507019043;16;20;594;1000;3.0942760942760943;3
poland_lodz_2020_im-montwilla-mireckiego.pb;greed_cost_res;ApprovalMultiProfile;0.011000633239746094;16;20;268;0;3.6305970149253732;4
poland_lodz_2020_im-montwilla-mireckiego.pb;maxwelfare_cost_res;ApprovalProfile;0.02499985694885254;16;20;594;1000;3.0942760942760943;3
poland_lodz_2020_im-montwilla-mireckiego.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.015999794006347656;16;20;268;0;3.6305970149253732;4
poland_lodz_2020_im-montwilla-mireckiego.pb;seqphragmen_res;ApprovalProfile;0.02399921417236328;16;20;594;1000;3.0942760942760943;3
poland_lodz_2020_im-montwilla-mireckiego.pb;seqphragmen_res;ApprovalMultiProfile;0.0279998779296875;16;20;268;0;3.6305970149253732;4
poland_lodz_2020_chojny.pb;maxwelfare_cost_res;ApprovalProfile;0.1890256404876709;14;10;5376;5000;2.7526041666666665;3
